Date,UserID,Product,Quantity,Price
2023-10-30,724,Monitor,8,777.18
2024-07-02,153,Tablet,2,373.48
2024-04-15,58,Smartphone,6,387.42
2023-11-03,173,Keyboard,7,713.95
2023-09-29,907,Laptop,10,728.3
2024-01-24,665,Headphones,1,240.53
2023-08-09,577,Tablet,4,214.11
2023-10-30,226,Camera,8,766.55
2023-11-18,797,Smartphone,10,876.66
2024-02-19,549,Monitor,5,34.27
2024-06-14,71,Smartphone,4,212.79
2023-10-15,105,Tablet,4,869.13
2023-10-27,219,Headphones,1,230.89
2024-07-13,251,Headphones,8,878.53
2023-12-18,642,Printer,3,507.43
2023-11-27,114,Monitor,2,211.78
2023-12-16,23,Smartphone,3,650.13
2024-05-23,372,Printer,10,474.98
2024-04-02,784,Smartphone,2,440.71
2024-06-27,435,Printer,6,873.1
2024-05-08,994,Camera,5,146.89
2024-01-27,154,Mouse,8,578.64
2024-04-21,57,Mouse,4,250.09
2023-12-27,92,Smartphone,10,465.69
2024-05-28,450,Monitor,7,511.79
2023-08-10,685,Printer,7,303.13
2024-03-28,810,Camera,2,485.72
2024-03-11,681,Printer,7,45.17
2024-06-28,879,Keyboard,10,833.26
2023-09-06,191,Headphones,10,997.35
2023-09-16,428,Headphones,3,235.85
2024-01-05,525,Headphones,10,588.33
2024-01-23,941,Tablet,3,59.66
2024-04-15,338,Laptop,1,423.14
2024-01-25,226,Monitor,9,36.54
2024-01-10,549,Headphones,10,396.51
2023-09-08,796,Tablet,3,802.71
2024-07-17,758,Tablet,4,74.72
2023-09-12,525,Laptop,9,789.73
2024-03-19,874,Keyboard,4,55.19
2024-06-03,328,Headphones,5,194.81
2023-11-27,283,Smartphone,9,925.17
2024-05-21,569,Laptop,1,210.6
2023-12-01,101,Smartphone,9,86.59
2023-08-09,936,Camera,1,451.14
2024-06-12,393,Mouse,5,181.02
2024-01-02,718,Tablet,4,761.53
2024-04-18,228,Laptop,10,872.04
2023-10-16,335,Printer,3,770.42
2024-05-30,575,Laptop,2,641.76
2023-08-02,743,Keyboard,8,491.97
2024-03-17,190,Laptop,9,898.59
2024-04-09,594,Camera,4,715.72
2024-06-29,179,Mouse,2,876.61
2023-09-10,617,Headphones,2,423.86
2024-06-23,696,Laptop,3,582.48
2023-10-19,784,Camera,2,891.21
2024-04-08,56,Keyboard,8,642.57
2023-08-23,711,Camera,2,908.36
2024-02-10,688,Mouse,8,192.89
2023-10-08,288,Headphones,5,703.66
2023-09-07,291,Headphones,5,194.97
2024-07-13,600,Tablet,10,537.35
2023-07-21,613,Camera,4,504.31
2023-09-11,643,Monitor,9,649.08
2023-11-02,929,Camera,10,85.93
2024-04-04,601,Tablet,2,328.48
2024-05-24,272,Printer,5,468.72
2024-01-26,959,Mouse,10,247.68
2024-02-22,148,Headphones,6,540.25
2023-09-01,396,Smartphone,9,895.22
2023-12-28,821,Mouse,5,427.4
2024-02-06,289,Printer,5,521.54
2024-04-14,229,Camera,1,795.67
2024-07-04,233,Mouse,4,145.08
2024-05-18,321,Mouse,4,617.44
2024-04-15,787,Camera,3,181.0
2024-02-19,893,Mouse,3,611.56
2024-03-27,994,Mouse,1,115.83
2024-01-25,379,Printer,9,131.14
2024-05-10,715,Laptop,10,33.61
2024-02-17,663,Headphones,8,530.75
2024-02-12,93,Monitor,4,519.9
2024-03-12,837,Tablet,5,352.92
2024-06-21,847,Tablet,2,655.76
2023-09-10,794,Mouse,8,123.46
2024-04-24,104,Camera,8,734.6
2024-02-21,448,Keyboard,3,708.85
2024-03-27,112,Printer,1,683.13
2024-01-23,160,Monitor,8,523.94
2023-08-29,470,Camera,5,276.35
2023-12-23,46,Camera,8,981.32
2023-08-03,6,Camera,6,953.47
2024-05-15,384,Mouse,9,374.89
2023-09-22,24,Smartphone,9,439.94
2024-06-28,684,Laptop,6,351.76
2024-06-10,624,Camera,10,621.31
2023-07-28,497,Camera,7,469.8
2024-06-27,178,Keyboard,9,228.95
2023-11-25,271,Monitor,6,540.64
2023-12-02,975,Smartphone,10,176.7
2023-09-20,801,Laptop,7,442.34
2023-12-05,750,Laptop,1,384.76
2023-10-08,818,Printer,10,734.49
2023-12-29,708,Mouse,7,834.24
2024-05-03,605,Printer,4,881.29
2024-04-05,378,Smartphone,5,952.43
2024-03-06,503,Headphones,2,850.35
2023-08-29,794,Keyboard,7,609.61
2023-08-16,175,Camera,7,620.6
2023-12-01,923,Mouse,7,282.2
2024-02-05,984,Monitor,5,951.61
2024-06-11,248,Tablet,3,142.98
2024-04-12,733,Smartphone,10,234.69
2023-08-21,623,Tablet,7,858.11
2023-09-05,563,Smartphone,6,286.56
2023-09-19,800,Camera,2,442.74
2024-02-20,952,Headphones,5,666.81
2024-05-07,838,Printer,10,24.61
2023-10-26,893,Mouse,3,310.77
2024-01-07,290,Monitor,1,997.58
2024-07-13,820,Mouse,4,37.07
2024-02-18,9,Smartphone,6,54.24
2023-08-23,839,Tablet,3,835.37
2024-03-02,563,Mouse,8,671.76
2023-10-28,408,Smartphone,6,713.09
2023-11-27,835,Printer,10,472.94
2024-04-01,799,Mouse,5,396.27
2023-07-24,517,Headphones,8,938.31
2024-02-22,405,Printer,9,701.18
2024-03-30,204,Printer,1,550.53
2024-07-12,836,Tablet,1,738.28
2024-04-27,702,Camera,7,374.06
2024-02-11,87,Camera,3,350.53
2023-08-03,757,Keyboard,3,469.88
2024-06-29,929,Printer,1,923.96
2023-08-30,373,Keyboard,4,589.34
2024-01-14,112,Monitor,1,100.69
2023-09-20,639,Keyboard,6,644.09
2024-07-05,163,Camera,3,570.27
2024-03-06,455,Monitor,9,713.68
2024-03-16,228,Mouse,2,151.11
2023-09-09,893,Printer,3,169.62
2023-10-23,877,Laptop,7,638.54
2024-02-26,540,Headphones,5,576.9
2024-03-06,863,Mouse,2,823.23
2024-03-12,791,Tablet,5,927.57
2023-12-09,112,Keyboard,8,149.79
2024-01-06,227,Keyboard,8,585.4
2023-08-17,721,Headphones,2,302.72
2023-08-24,376,Headphones,10,940.92
2023-08-01,245,Headphones,4,96.48
2023-12-26,284,Monitor,8,404.73
2024-06-10,933,Mouse,3,851.18
2024-01-22,707,Mouse,7,241.81
2024-03-18,336,Headphones,6,186.65
2023-10-13,52,Laptop,9,545.09
2024-04-28,618,Mouse,9,281.06
2023-09-23,89,Headphones,4,720.95
2024-01-05,514,Monitor,2,328.96
2023-09-02,239,Headphones,9,950.72
2023-09-19,39,Headphones,9,68.39
2023-11-30,65,Headphones,4,753.91
2024-04-28,250,Keyboard,4,857.99
2023-08-16,697,Keyboard,5,482.42
2023-11-04,6,Laptop,6,126.08
2023-09-01,686,Monitor,3,393.96
2024-06-23,365,Mouse,3,885.04
2024-04-30,112,Printer,2,10.61
2024-06-14,604,Tablet,1,198.28
2023-11-24,944,Mouse,10,669.72
2024-07-01,952,Printer,2,30.22
2024-03-06,655,Monitor,8,669.62
2024-01-25,764,Monitor,3,680.43
2024-02-29,168,Monitor,4,483.22
2024-04-27,627,Keyboard,7,822.33
2023-11-17,725,Smartphone,3,869.5
2023-11-12,296,Printer,1,612.59
2024-03-08,72,Printer,10,997.42
2024-04-03,783,Mouse,8,418.98
2024-07-12,265,Laptop,9,980.05
2024-02-02,699,Smartphone,4,445.33
2023-12-03,400,Mouse,3,874.98
2024-06-01,248,Laptop,6,207.33
2023-12-31,55,Monitor,6,55.99
2024-02-29,508,Printer,1,641.42
2024-05-21,198,Laptop,7,913.4
2024-03-09,907,Printer,3,886.0
2024-01-07,566,Monitor,7,928.29
2023-12-18,731,Tablet,8,404.29
2024-05-29,896,Monitor,6,349.79
2023-12-26,845,Smartphone,8,705.83
2023-10-23,474,Monitor,9,137.6
2024-03-08,298,Laptop,1,50.59
2024-01-15,93,Camera,6,315.89
2023-11-09,372,Camera,4,132.61
2024-06-01,427,Headphones,9,129.82
2023-09-09,900,Laptop,10,14.79
2024-04-12,359,Smartphone,10,784.61
2024-05-09,786,Printer,10,632.1
2023-11-09,911,Smartphone,7,498.17
2023-10-28,728,Smartphone,2,631.08
2023-11-09,153,Mouse,7,485.81
2023-10-08,698,Camera,2,711.79
2024-01-22,806,Tablet,10,795.87
2023-11-09,160,Camera,2,263.63
2023-07-21,6,Printer,6,140.14
2023-11-26,947,Monitor,8,113.14
2024-02-24,196,Smartphone,3,982.36
2023-09-11,185,Monitor,3,861.0
2024-06-26,51,Camera,4,241.82
2024-02-28,519,Camera,1,565.09
2024-02-29,414,Keyboard,5,808.14
2023-11-22,979,Mouse,9,109.47
2023-11-26,422,Monitor,1,760.68
2023-09-10,82,Headphones,4,75.53
2024-01-07,109,Mouse,3,319.32
2024-02-22,72,Headphones,2,649.47
2023-12-26,170,Monitor,8,167.68
2024-02-02,395,Monitor,1,322.96
2024-03-22,641,Monitor,3,191.91
2024-06-07,567,Laptop,8,875.86
2024-02-07,36,Tablet,2,721.43
2024-01-19,622,Laptop,4,374.4
2023-11-19,97,Mouse,10,680.03
2024-03-30,959,Headphones,5,716.63
2024-05-08,182,Keyboard,2,757.06
2024-04-24,932,Printer,4,399.44
2024-06-08,383,Camera,5,458.15
2023-10-25,965,Monitor,3,973.19
2024-02-02,538,Smartphone,4,505.2
2024-03-15,965,Smartphone,10,933.75
2023-12-10,645,Smartphone,9,416.81
2023-10-24,2,Laptop,1,982.21
2024-02-05,996,Laptop,6,75.61
2023-11-20,928,Printer,4,444.44
2024-01-22,272,Printer,5,405.41
2024-06-09,460,Laptop,2,859.94
2024-07-02,706,Keyboard,1,744.72
2024-04-03,734,Tablet,6,268.04
2023-12-14,9,Laptop,8,333.55
2024-03-27,62,Monitor,5,948.37
2024-06-29,681,Printer,4,82.02
2023-12-13,732,Smartphone,9,598.87
2023-12-14,994,Tablet,2,981.54
2024-07-05,283,Keyboard,3,629.31
2024-02-03,536,Smartphone,6,854.22
2024-05-22,789,Tablet,6,167.33
2023-11-24,35,Headphones,8,621.41
2023-08-27,720,Tablet,4,371.93
2024-06-21,517,Monitor,1,794.61
2024-07-13,546,Camera,2,479.06
2023-11-25,208,Printer,8,151.52
